date,damwater_level,mv_power,mv_app_power,mv_freq,mv_power_factor,mv_reactive,mv_current_l1,mv_current_l2,mv_current_l3,mv_voltage_L1_L2,mv_voltage_L2_L3,mv_voltage_L3_L1,t1_temp_bearing_de_axial,t2_temp_bearing_de_axial,t1_temp_bearing_de_radial,t2_temp_bearing_de_radial,t2_temp_bearing_nde_radial,t1_temp_bearing_nde_radial,t1_temp_winding_u,t2_temp_winding_v,t1_temp_winding_v,t1_temp_winding_w,t2_temp_winding_w,headwater_level,t1_hydraulic_oil_level,t2_hydraulic_oil_level,t1_hydraulic_pres,t2_hydraulic_pres,t1_pres_after_miv,t2_pres_after_miv,t1_pres_before_miv,t2_pres_before_miv,t1_tailwater_level,t2_tailwater_level,t1_turbine_flow,t2_turbine_flow,t1_position_gate,t2_position_gate
2025-03-07 00:00:00,4.19,2.48,2.56,50.03,0.97,0.64,63.5,65.46,66.52,21.62,21.65,21.55,65.27,56.13,47.3,51.16,48.7,61.3,78.9,78.3,72.1,77.76,77.44,5.44,27.6,27.5,161.01,148.14,9.66,9.3,9.5,9.87,2.96,3.2,1.61,1.89,15.03,64.66
2025-03-07 00:05:00,4.19,2.45,2.53,50.03,0.97,0.64,64.26,67.3,68.32,21.65,21.7,21.6,65.27,56.13,47.3,51.16,48.7,61.3,78.9,78.3,72.1,77.76,77.44,5.44,27.6,27.5,161.01,148.14,9.66,9.3,9.5,9.87,2.96,3.2,1.61,1.89,15.03,64.66
2025-03-07 00:10:00,4.19,2.45,2.53,50.03,0.97,0.64,64.26,67.3,68.32,21.65,21.7,21.6,65.27,56.13,47.3,51.16,48.7,61.3,78.9,78.3,72.1,77.76,77.44,5.44,27.6,27.5,161.01,148.14,9.66,9.3,9.5,9.87,2.96,3.2,1.61,1.89,15.03,64.66
2025-03-07 00:15:00,4.19,2.45,2.53,50.03,0.97,0.62,64.26,67.3,68.32,21.65,21.7,21.6,65.27,56.13,47.3,51.16,48.7,61.3,78.9,78.3,72.1,77.76,77.44,5.44,27.6,27.5,161.01,148.14,9.66,9.3,9.5,9.87,2.96,3.2,1.61,1.89,15.03,64.66
2025-03-07 00:20:00,4.19,2.45,2.53,50.03,0.97,0.62,64.26,67.3,68.32,21.65,21.7,21.6,65.27,56.13,47.3,51.16,48.7,61.3,78.9,78.3,72.1,77.76,77.44,5.44,27.6,27.5,161.01,148.14,9.66,9.3,9.5,9.87,2.96,3.2,1.61,1.89,15.03,64.66
2025-03-07 00:25:00,4.19,2.45,2.53,50.03,0.97,0.62,64.26,67.3,68.32,21.65,21.7,21.6,65.27,56.13,47.3,51.16,48.7,61.3,78.9,78.3,72.1,77.76,77.44,5.44,27.6,27.5,161.01,148.14,9.66,9.3,9.5,9.87,2.96,3.2,1.61,1.89,15.03,64.66
2025-03-07 00:30:00,4.19,2.45,2.53,50.03,0.97,0.63,64.26,67.3,68.32,21.65,21.7,21.6,65.27,56.13,47.3,51.16,48.7,61.3,78.9,78.3,72.1,77.76,77.44,5.44,27.6,27.5,161.01,148.14,9.66,9.3,9.5,9.87,2.96,3.2,1.61,1.89,15.03,64.66
2025-03-07 00:35:00,4.19,2.45,2.53,50.03,0.97,0.63,64.26,67.3,68.32,21.65,21.7,21.6,65.27,56.13,47.3,51.16,48.7,61.3,78.9,78.3,72.1,77.76,77.44,5.44,27.6,27.5,161.01,148.14,9.66,9.3,9.5,9.87,2.96,3.2,1.61,1.89,15.03,64.66
2025-03-07 00:40:00,4.19,2.45,2.53,50.03,0.97,0.63,64.26,67.3,68.32,21.65,21.7,21.6,65.27,56.13,47.3,51.16,48.7,61.3,78.9,78.3,72.1,77.76,77.44,5.44,27.6,27.5,161.01,148.14,9.66,9.3,9.5,9.87,2.96,3.2,1.61,1.89,15.03,64.66
2025-03-07 00:45:00,4.19,2.45,2.53,50.03,0.97,0.62,64.26,67.3,68.32,21.65,21.7,21.6,65.27,56.13,47.3,51.16,48.7,61.3,78.9,78.3,72.1,77.76,77.44,5.44,27.6,27.5,161.01,148.14,9.66,9.3,9.5,9.87,2.96,3.2,1.61,1.89,15.03,64.66
